2785.522461	2785.522461	Alabama Singleton sings	Notes	Alabama Singleton
2832.024793	2835.123967	How did they play that?	Transcription	Herbert Halpert
2835.743802	2835.743802	A ring play, yes. When you say 'go all around the maypole' you'll join hands and be going around the ring and then you're showing your emotion and doing a little dance.	Transcription	Alabama Singleton
2843.956612	2843.956612	Well now, how do you, was there somebody [inaudible].	Transcription	Herbert Halpert
2845.661157	2845.661157	In the middle of the ring and the rest of the children would be patting their hands.	Transcription	Alabama Singleton
2849.690083	2849.690083	Could you pat the way they did? Take it over again and do the patting.	Transcription	Herbert Halpert
2851.239669	2851.239669	Yes.	Transcription	Alabama Singleton
2855.423554	2855.423554	Alright	Transcription	Alabama Singleton
2857.438017	2857.438017	Alright	Transcription	Herbert Halpert
2858.520508	2862.86157	Well, when you throw around the maypole you doesn't pat because your hands be joined then.	Transcription	Alabama Singleton
2862.86157	2862.86157	Oh, I see, well sing that and don't do your hands [Inaudible].	Transcription	Herbert Halpert
2867.553711	2894.47314	Alabama Singleton sings	Notes	Alabama Singleton
2913.574219	2944.679752	Alabama Singleton sings	Notes	Alabama Singleton
2950.195312	2971.952479	Alabama Singleton sings	Notes	Alabama Singleton
2975.097656	2979.080579	3142, B1, 2, 3, and 4	Notes	Library of Congress
2983.886719	3003.051758	[Inaudible] Just sitting down is alright. Well no, I want to get it close to you. I'm going to put it around here.  Now, you just face in that direction. Talk right out. [Adjusts the microphone].	Transcription	Herbert Halpert
3003.051758	3004.803719	Maggie Fulton	Transcription	Maggie Fulton
3004.64876	3005.714101	And how old are you?	Transcription	Herbert Halpert
3006.062758	3006.740702	43	Transcription	Maggie Fulton
3008.445248	3008.445248	Tell us about this game. Where you learned it.	Transcription	Herbert Halpert
3011.815599	3020.841942	Well I learned it at my home in Leesville, South Carolina, a little childhood play. The play goes like this.	Transcription	Maggie Fulton
3021.539256	3033.316116	Maggie Fulton chants a game	Notes	Maggie Fulton
3035.020661	3040.134298	Well, what, how did it go on? What else happened? What happened in the game?	Transcription	Herbert Halpert
3040.134298	3044.201963	Well, the children would act as if they were flying like the turkeys.	Transcription	Maggie Fulton
3045.092975	3051.717459	As if they were flying like a turkey? How was it played and how did they start off play	Transcription	Herbert Halpert
3051.717459	3074.070248	So they start off playing all over so if you're standing around and one would say 'Little girl, little girl have you been to the barn' and everyone said, yes Ma'am. And they answered 'Did you see my turkey?'' You say 'Yes Ma'am'. And you say 'How high did it fly' and you say 'So high' and then everybody stretched their arms up as if it was the wingspan.	Transcription	Maggie Fulton
3078.409091	3095.764463	Maggie Fulton sings a song	Notes	Maggie Fulton
3100.258264	3100.258264	Maggie Fulton demonstrates a game	Notes	Maggie Fulton
3136.673554	3166.42562	Harold B. Hazelhurst (HBH): I'm 30 yrs old, born in Georgia, reared in Florida, a water boy on the Marlboro camp, introduces a song.	Transcription	Harold B. Hazelhurst
3141.244835	3142.639463	And where were you brought up?	Transcription	Herbert Halpert
3142.716942	3145.428719	I was born in Georgia and reared in Florida.	Transcription	Harold B. Hazelhurst
3146.43595	3146.43595	Where did you learn this particular song?	Transcription	Herbert Halpert
3148.063017	3150.464876	I learned this song in middle Florida.	Transcription	Harold B. Hazelhurst
3150.774793	3153.331612	How did you learn it?	Transcription	Herbert Halpert
3153.331612	3159.762397	I was water boy on the hard road camp and the men during the day would sing these songs while they were working.	Transcription	Harold B. Hazelhurst
3159.762397	3161.389463	What is this one called?	Transcription	Herbert Halpert
3161.002066	3166.270661	 Uh, it was called . . . it didn't have no particular name. They called it 'the Captain's Mule.'	Transcription	Harold B. Hazelhurst
3166.270661	3168.827479	I like that. Alright. Let's hear it.	Transcription	Herbert Halpert
3168.595041	3228.56405	Harold B. Hazelhurst sings 'The Captain's Mule'	Notes	Harold B. Hazelhurst
3230.268595	3234.917355	3143 A1 and 2	Notes	Library of Congress
3236.77686	3300.929752	Harold B. Hazelhurst sings John Henry	Notes	Harold B. Hazelhurst
3303.56405	3303.56405	You say that was sung on the hard road camp?	Transcription	Harold B. Hazelhurst
3308.057851	3308.057851	Well, it was during the day when it was warm weather and the fellows would get kind of jaded and they'd sing that to get themselves aroused again and to get more interested in their work	Transcription	Harold B. Hazelhurst
3317.936467	3319.369835	What kind of work were they doing?	Transcription	Herbert Halpert
3319.524793	3319.524793	They were driving wheelers, driving mules on graded camp.	Transcription	Harold B. Hazelhurst
3323.747417	3330.294421	And these were the mule-skinners who were doing the singing? And what do they do? Sing the song while they were [inaudible]	Transcription	Herbert Halpert
3329.558368	3333.664773	Sing the song as the mules were going up and down the grade, loading.	Transcription	Harold B. Hazelhurst
3339.088326	3340.289256	And what is the name of this song?	Transcription	Herbert Halpert
3340.289256	3341.955062	The name of this song is 'John Henry'	Transcription	Harold B. Hazelhurst
3342.381198	3343.969525	Now how did you happen to learn it?	Transcription	Herbert Halpert
3343.969525	3343.969525	During the time that I was a water boy, between the age of 15 and 16 on a logging camp railroad. The men during the day would sing this while they were driving spikes.	Transcription	Harold B. Hazelhurst
3356.443698	3356.443698	While they were driving spikes. Could you mark off how the hammers would be coming down? Just where they'd be coming, hitting against this.	Transcription	Herbert Halpert
3366.128616	3366.128616	Well, they'd be double-driving.	Transcription	Harold B. Hazelhurst
3367.98812	3380.384814	[Banging] Alright. Can you, You can double-drive as long as you don't double-drive on the microphone. Alright. That's fine. Now, uh, and, This is 'John' -- you were telling me that this 'John Henry' wasn't sung the same way always? I mean, they wouldn't begin --	Transcription	Herbert Halpert
3380.423554	3391.580579	Well, no, they wouldn't begin at the same place all the time. Sometimes they'd begin when he was only six months old or perhaps they would begin by John Henry he had a little woman.	Transcription	Harold B. Hazelhurst
3391.580579	3395.028409	Well now tell me, uh, but did they always have the same tune to it?	Transcription	Herbert Halpert
3395.028409	3400.72314	Oh yes, they had the same tune all the time but different wording. You know. They would make up words all the time.	Transcription	Harold B. Hazelhurst
